X1,geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
1,city,Albany,driving,NA,New York,United States,2020-06-29,123.63
1,city,Albany,driving,NA,New York,United States,2020-06-30,128.48
1,city,Albany,driving,NA,New York,United States,2020-07-01,133.34
1,city,Albany,driving,NA,New York,United States,2020-07-02,141.67
1,city,Albany,driving,NA,New York,United States,2020-07-03,126.05
1,city,Albany,driving,NA,New York,United States,2020-07-04,96.12
1,city,Albany,driving,NA,New York,United States,2020-07-05,99.87
1,city,Albany,driving,NA,New York,United States,2020-07-06,125.54
1,city,Albany,driving,NA,New York,United States,2020-07-07,131.75
1,city,Albany,driving,NA,New York,United States,2020-07-08,129.07
1,city,Albany,driving,NA,New York,United States,2020-07-09,136.84
1,city,Albany,driving,NA,New York,United States,2020-07-10,145.68
1,city,Albany,driving,NA,New York,United States,2020-07-11,128.67
1,city,Albany,driving,NA,New York,United States,2020-07-12,111.52
1,city,Albany,driving,NA,New York,United States,2020-07-13,128.41
1,city,Albany,driving,NA,New York,United States,2020-07-14,132.96
1,city,Albany,driving,NA,New York,United States,2020-07-15,137.53
1,city,Albany,driving,NA,New York,United States,2020-07-16,135.99
1,city,Albany,driving,NA,New York,United States,2020-07-17,149.7
1,city,Albany,driving,NA,New York,United States,2020-07-18,130
1,city,Albany,driving,NA,New York,United States,2020-07-19,108.45
1,city,Albany,driving,NA,New York,United States,2020-07-20,131.53
1,city,Albany,driving,NA,New York,United States,2020-07-21,134.77
1,city,Albany,driving,NA,New York,United States,2020-07-22,134.19
1,city,Albany,driving,NA,New York,United States,2020-07-23,135.83
1,city,Albany,driving,NA,New York,United States,2020-07-24,155.33
1,city,Albany,driving,NA,New York,United States,2020-07-25,133.14
1,city,Albany,driving,NA,New York,United States,2020-07-26,111.07
1,city,Albany,driving,NA,New York,United States,2020-07-27,130.21
1,city,Albany,driving,NA,New York,United States,2020-07-28,134.54
1,city,Albany,driving,NA,New York,United States,2020-07-29,141.09
1,city,Albany,driving,NA,New York,United States,2020-07-30,143.36
1,city,Albany,driving,NA,New York,United States,2020-07-31,153.86
1,city,Albany,driving,NA,New York,United States,2020-08-01,138.83
1,city,Albany,driving,NA,New York,United States,2020-08-02,109.1
1,city,Albany,driving,NA,New York,United States,2020-08-03,138.11
1,city,Albany,driving,NA,New York,United States,2020-08-04,121.81
1,city,Albany,driving,NA,New York,United States,2020-08-05,146.1
1,city,Albany,driving,NA,New York,United States,2020-08-06,147.56
1,city,Albany,driving,NA,New York,United States,2020-08-07,154.22
1,city,Albany,driving,NA,New York,United States,2020-08-08,143.79
1,city,Albany,driving,NA,New York,United States,2020-08-09,116.19
1,city,Albany,driving,NA,New York,United States,2020-08-10,135.01
1,city,Albany,driving,NA,New York,United States,2020-08-11,137.04
1,city,Albany,driving,NA,New York,United States,2020-08-12,141.15
1,city,Albany,driving,NA,New York,United States,2020-08-13,147.66
1,city,Albany,driving,NA,New York,United States,2020-08-14,158.41
1,city,Albany,driving,NA,New York,United States,2020-08-15,143.16
1,city,Albany,driving,NA,New York,United States,2020-08-16,117.9
1,city,Albany,driving,NA,New York,United States,2020-08-17,137.92
1,city,Albany,driving,NA,New York,United States,2020-08-18,145.02
1,city,Albany,driving,NA,New York,United States,2020-08-19,151.76
1,city,Albany,driving,NA,New York,United States,2020-08-20,157.79
1,city,Albany,driving,NA,New York,United States,2020-08-21,170.94
1,city,Albany,driving,NA,New York,United States,2020-08-22,155.99
1,city,Albany,driving,NA,New York,United States,2020-08-23,131.29
1,city,Albany,driving,NA,New York,United States,2020-08-24,146.84
1,city,Albany,driving,NA,New York,United States,2020-08-25,143.56
1,city,Albany,driving,NA,New York,United States,2020-08-26,145.76
1,city,Albany,driving,NA,New York,United States,2020-08-27,139.46
1,city,Albany,driving,NA,New York,United States,2020-08-28,163.21
1,city,Albany,driving,NA,New York,United States,2020-08-29,136.04
1,city,Albany,driving,NA,New York,United States,2020-08-30,120.63
1,city,Albany,driving,NA,New York,United States,2020-08-31,140.84
1,city,Albany,driving,NA,New York,United States,2020-09-01,142.27
1,city,Albany,driving,NA,New York,United States,2020-09-02,137.35
1,city,Albany,driving,NA,New York,United States,2020-09-03,150.45
1,city,Albany,driving,NA,New York,United States,2020-09-04,170.92
1,city,Albany,driving,NA,New York,United States,2020-09-05,143.89
1,city,Albany,driving,NA,New York,United States,2020-09-06,118.62
1,city,Albany,driving,NA,New York,United States,2020-09-07,120.27
1,city,Albany,driving,NA,New York,United States,2020-09-08,134.43
1,city,Albany,driving,NA,New York,United States,2020-09-09,140.91
1,city,Albany,driving,NA,New York,United States,2020-09-10,142.29
1,city,Albany,driving,NA,New York,United States,2020-09-11,159.98
1,city,Albany,driving,NA,New York,United States,2020-09-12,150.18
1,city,Albany,driving,NA,New York,United States,2020-09-13,116.64
1,city,Albany,driving,NA,New York,United States,2020-09-14,128.73
1,city,Albany,driving,NA,New York,United States,2020-09-15,134.72
1,city,Albany,driving,NA,New York,United States,2020-09-16,136.06
1,city,Albany,driving,NA,New York,United States,2020-09-17,138.23
1,city,Albany,driving,NA,New York,United States,2020-09-18,162.51
1,city,Albany,driving,NA,New York,United States,2020-09-19,153.46
1,city,Albany,driving,NA,New York,United States,2020-09-20,119.21
1,city,Albany,driving,NA,New York,United States,2020-09-21,124.41
1,city,Albany,driving,NA,New York,United States,2020-09-22,127.55
1,city,Albany,driving,NA,New York,United States,2020-09-23,131.69
1,city,Albany,driving,NA,New York,United States,2020-09-24,137.17
1,city,Albany,driving,NA,New York,United States,2020-09-25,160
1,city,Albany,driving,NA,New York,United States,2020-09-26,153
1,city,Albany,driving,NA,New York,United States,2020-09-27,118.88
1,city,Albany,driving,NA,New York,United States,2020-09-28,124.7
1,city,Albany,driving,NA,New York,United States,2020-09-29,121.12
1,city,Albany,driving,NA,New York,United States,2020-09-30,125.55
1,city,Albany,driving,NA,New York,United States,2020-10-01,131.92
1,city,Albany,driving,NA,New York,United States,2020-10-02,147.54
1,city,Albany,driving,NA,New York,United States,2020-10-03,146.53
2,city,Albany,transit,NA,New York,United States,2020-01-13,100
2,city,Albany,transit,NA,New York,United States,2020-01-14,100.14
2,city,Albany,transit,NA,New York,United States,2020-01-15,105.95
2,city,Albany,transit,NA,New York,United States,2020-01-16,107.76
2,city,Albany,transit,NA,New York,United States,2020-01-17,101.39
2,city,Albany,transit,NA,New York,United States,2020-01-18,85.79
2,city,Albany,transit,NA,New York,United States,2020-01-19,82.86
2,city,Albany,transit,NA,New York,United States,2020-01-20,126.71
2,city,Albany,transit,NA,New York,United States,2020-01-21,133.77
2,city,Albany,transit,NA,New York,United States,2020-01-22,144.82
2,city,Albany,transit,NA,New York,United States,2020-01-23,136.09
2,city,Albany,transit,NA,New York,United States,2020-01-24,161.5
2,city,Albany,transit,NA,New York,United States,2020-01-25,129.26
2,city,Albany,transit,NA,New York,United States,2020-01-26,104.74
2,city,Albany,transit,NA,New York,United States,2020-01-27,135.9
2,city,Albany,transit,NA,New York,United States,2020-01-28,132.37
2,city,Albany,transit,NA,New York,United States,2020-01-29,123.55
2,city,Albany,transit,NA,New York,United States,2020-01-30,130.79
2,city,Albany,transit,NA,New York,United States,2020-01-31,159.87
2,city,Albany,transit,NA,New York,United States,2020-02-01,130.65
2,city,Albany,transit,NA,New York,United States,2020-02-02,98.89
2,city,Albany,transit,NA,New York,United States,2020-02-03,135.39
2,city,Albany,transit,NA,New York,United States,2020-02-04,120.76
2,city,Albany,transit,NA,New York,United States,2020-02-05,123.59
2,city,Albany,transit,NA,New York,United States,2020-02-06,125.5
2,city,Albany,transit,NA,New York,United States,2020-02-07,132.84
2,city,Albany,transit,NA,New York,United States,2020-02-08,140.78
2,city,Albany,transit,NA,New York,United States,2020-02-09,101.63
